"","osmid","lat","lon","id","missing_neighbors","downtown","demand","supply"
"967",42432282,40.7190623,-73.9964715,967,FALSE,TRUE,0,0
"968",42432302,40.7216242,-73.9954604,968,FALSE,TRUE,0,86
"969",42432305,40.723036,-73.994909,969,FALSE,TRUE,0,0
"970",42432308,40.7247637,-73.9941491,970,FALSE,TRUE,0,0
"971",42432352,40.797101,-73.9490776,971,FALSE,FALSE,0,0
"972",42432376,40.7967335,-73.9488554,972,FALSE,FALSE,0,0
"973",42432395,40.7966362,-73.9494082,973,FALSE,FALSE,0,0
"974",42432436,40.7528159,-73.9813803,974,FALSE,TRUE,0,0
"975",42432438,40.7521404,-73.9797786,975,FALSE,TRUE,0,0
"976",42432444,40.7507711,-73.9765292,976,FALSE,TRUE,0,0
"977",42432451,40.7501096,-73.9749369,977,FALSE,TRUE,0,30
"978",42432458,40.7497424,-73.9740722,978,FALSE,TRUE,0,0
"979",42432464,40.7491639,-73.9727006,979,FALSE,TRUE,0,0
"980",42432540,40.7484102,-73.9709247,980,FALSE,TRUE,0,0
"981",42432556,40.7769031,-73.9754712,981,FALSE,FALSE,0,0
"982",42432558,40.7781042,-73.9783086,982,FALSE,FALSE,0,0
"983",42432564,40.779284,-73.9811164,983,FALSE,FALSE,0,0
"984",42432572,40.7810707,-73.9853731,984,FALSE,FALSE,0,0
"985",42432580,40.7579096,-73.9776624,985,FALSE,TRUE,0,0
"986",42432585,40.7604633,-73.9837062,986,FALSE,TRUE,0,0
"987",42432589,40.7616677,-73.9865661,987,FALSE,TRUE,0,0
"988",42432594,40.7628617,-73.9894017,988,FALSE,TRUE,0,0
"989",42432598,40.7640575,-73.9922415,989,FALSE,TRUE,41,0
"990",42432659,40.8204537,-73.9362503,990,FALSE,FALSE,0,0
"991",42432665,40.8211205,-73.9357508,991,FALSE,FALSE,0,0
"992",42432669,40.8217395,-73.9352815,992,FALSE,FALSE,0,0
"993",42432679,40.7058008,-74.0098642,993,FALSE,TRUE,0,0
"994",42432693,40.7554134,-73.9794895,994,FALSE,TRUE,0,0
"995",42432700,40.7591595,-73.9883858,995,FALSE,TRUE,0,0
"996",42432703,40.7603553,-73.9912267,996,FALSE,TRUE,0,0
"997",42432706,40.7615516,-73.9940688,997,FALSE,TRUE,0,0
"998",42432720,40.859573,-73.91911,998,FALSE,FALSE,0,0
"999",42432722,40.859898,-73.919846,999,FALSE,FALSE,0,0
"1000",42432736,40.7987264,-73.9595472,1000,FALSE,FALSE,0,0
"1001",42432737,40.7993269,-73.9609798,1001,FALSE,FALSE,0,0
"1002",42432744,40.7999177,-73.962392,1002,FALSE,FALSE,0,0
"1003",42432756,40.8011071,-73.9651957,1003,FALSE,FALSE,0,0
"1004",42432764,40.802938,-73.96956,1004,FALSE,FALSE,0,0
"1005",42432785,40.8615543,-73.9247102,1005,FALSE,FALSE,0,0
"1006",42432789,40.8625949,-73.9253818,1006,FALSE,FALSE,0,0
"1007",42432795,40.8645441,-73.9266364,1007,FALSE,FALSE,0,0
"1008",42432799,40.8661784,-73.9280465,1008,FALSE,FALSE,0,0
"1009",42432802,40.866743,-73.928722,1009,FALSE,FALSE,0,0
"1010",42432805,40.8672563,-73.9293463,1010,FALSE,FALSE,0,0
"1011",42432818,40.7629723,-73.9739744,1011,FALSE,TRUE,0,0
"1012",42432825,40.7622945,-73.9723653,1012,FALSE,TRUE,0,0
"1013",42432834,40.7615775,-73.970671,1013,FALSE,TRUE,0,0
"1014",42432847,40.7609304,-73.9691328,1014,FALSE,TRUE,0,0
"1015",42432856,40.7602748,-73.9675757,1015,FALSE,TRUE,0,0
"1016",42432861,40.7593168,-73.9653081,1016,FALSE,TRUE,0,0
"1017",42432871,40.7573667,-73.9606728,1017,FALSE,FALSE,0,0
"1018",42432875,40.7571963,-73.9602633,1018,FALSE,FALSE,0,0
"1019",42432882,40.872249,-73.919458,1019,FALSE,FALSE,0,0
"1020",42432889,40.8032537,-73.952608,1020,FALSE,FALSE,0,0
"1021",42432894,40.8041987,-73.9527337,1021,FALSE,FALSE,0,0
"1022",42432897,40.8050309,-73.9527655,1022,FALSE,FALSE,0,0
"1023",42432900,40.805867,-73.9528064,1023,FALSE,FALSE,0,0
"1024",42432905,40.8075507,-73.9529047,1024,FALSE,FALSE,0,0
"1025",42432917,40.8083967,-73.9529558,1025,FALSE,FALSE,0,0
"1026",42432926,40.8092377,-73.953005,1026,FALSE,FALSE,0,0
"1027",42432928,40.8101047,-73.9531089,1027,FALSE,FALSE,0,0
"1028",42432929,40.8107673,-73.9525905,1028,FALSE,FALSE,0,0
"1029",42432931,40.811442,-73.952101,1029,FALSE,FALSE,0,0
"1030",42432932,40.8120151,-73.9515008,1030,FALSE,FALSE,0,0
"1031",42432933,40.812575,-73.950927,1031,FALSE,FALSE,0,0
"1032",42432936,40.813159,-73.95035,1032,FALSE,FALSE,0,0
"1033",42432949,40.815692,-73.948677,1033,FALSE,FALSE,0,0
"1034",42432950,40.816374,-73.948356,1034,FALSE,FALSE,0,0
"1035",42432954,40.8178547,-73.9476667,1035,FALSE,FALSE,0,0
"1036",42432955,40.8185359,-73.9473494,1036,FALSE,FALSE,0,0
"1037",42432956,40.8192188,-73.9470312,1037,FALSE,FALSE,0,0
"1038",42432957,40.819903,-73.9467125,1038,FALSE,FALSE,0,0
"1039",42432960,40.8205827,-73.9463959,1039,FALSE,FALSE,0,0
"1040",42432961,40.8212637,-73.9460787,1040,FALSE,FALSE,0,0
"1041",42432963,40.8240402,-73.9447637,1041,FALSE,FALSE,0,0
"1042",42432967,40.825332,-73.943813,1042,FALSE,FALSE,0,0
"1043",42432970,40.825956,-73.943357,1043,FALSE,FALSE,0,0
"1044",42432974,40.8273441,-73.9427817,1044,FALSE,FALSE,0,0
