0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
11.0,4435.009000000001,3498.605,2728.1949999999997,3725.1329999999994,4529.952,1484.027,883.505,2597.6259999999997,1245.4009999999998,2364.996,2591.6760000000004,2988.2560000000003,4307.548,1863.319,1730.0380000000002,1781.385,988.521,4439.405,4007.9990000000007,1734.3739999999996,2669.449,4279.497,2840.332,1222.199,1826.162,1482.1719999999998,516.64,1458.3549999999998,2047.6269999999997,4190.644,1834.9529999999997,4552.399,1402.944,2300.006,3993.9649999999992,4205.606,2247.5199999999995,5158.747,4910.595999999999,4364.349,4300.156000000001,2902.55,2877.418,1775.3130000000003,2547.834,2487.761,1439.58,4053.5539999999983,2413.8570000000004,1719.086
12.0,3398.196,4747.876999999999,3980.655999999999,4977.594,3277.3909999999996,1173.2850000000003,2135.966,1345.0649999999998,2497.862,3614.268,3840.9480000000003,1735.695,5560.009,3115.7799999999997,2982.499,3030.657,2237.7929999999997,3198.0610000000006,5260.460000000001,2986.835,3918.7209999999995,5531.958,1886.7239999999997,2474.6599999999994,1235.401,2734.633,1769.1009999999999,2710.8160000000003,3300.0879999999997,2938.083,2161.202,5801.671000000001,467.191,3552.467,5246.4259999999995,2953.045,1322.7530000000002,3917.4029999999993,3658.035,5616.8099999999995,5552.617000000001,4151.821999999999,4126.69,2101.5620000000004,3800.2949999999996,3021.422,2692.0409999999997,2800.993,3663.129,1417.454
13.0,2638.552,5174.879,4542.781999999998,5539.72,2873.794,1733.3610000000003,2698.091999999999,571.134,3059.9879999999994,4174.344,4401.023999999999,1332.302,6122.135,3677.9059999999995,3544.6249999999995,3590.7329999999993,2797.8690000000006,2438.417,5822.586000000001,3548.961,4478.796999999999,6094.083999999999,2094.582,3036.7859999999996,1796.6970000000001,3296.7589999999996,2331.227,3272.9420000000005,3862.2139999999995,2534.69,2721.278,6226.542999999999,1029.317,4114.593,5808.552000000001,2556.962,1883.861,3157.7589999999996,3254.438,6178.935999999999,6114.743000000001,4711.897999999998,4686.765999999999,2661.638,4362.420999999999,3405.8289999999997,3254.1669999999995,2397.3959999999997,4223.205000000001,1979.34
14.0,4825.368,2849.391,1739.1609999999998,2520.794,5772.508000000001,2702.8749999999995,619.097,3404.2539999999995,977.2869999999999,1649.78,1692.5399999999997,4208.436,3318.5139999999997,874.285,741.0040000000001,1896.724,1774.0949999999998,5170.954999999999,3018.965,543.0,2295.616,3290.463,3230.691,957.7910000000002,2239.0370000000003,1055.1680000000001,911.4599999999999,941.6359999999999,856.2529999999999,5410.8240000000005,3051.717,3868.01,2645.5,1310.972,2789.626,5425.7390000000005,2660.395,5558.5,6153.152,3375.315,3311.1220000000003,2240.556,2164.9910000000004,2992.077,1558.7999999999997,3353.263,450.546,5296.11,1730.7730000000004,2131.9610000000002
15.0,5119.360000000001,2944.3,2466.7779999999993,3463.716,4790.184,1720.5510000000002,622.088,2857.8579999999993,1331.4160000000002,1810.6909999999998,2037.371,3226.112,3771.4539999999997,1452.776,1291.2910000000002,1227.08,791.771,5073.6500000000015,3746.5820000000012,1472.9569999999997,2115.1440000000002,4018.0799999999995,3524.683,622.012,2533.029000000001,970.169,900.3879999999999,1348.8039999999999,1786.21,4428.499999999999,2069.3929999999996,3998.0939999999996,1663.176,1976.122,3732.547999999999,4443.414999999999,2933.8759999999997,5792.992000000001,5170.827999999999,4102.932,4038.739,2348.245,2323.113,2009.753,2286.417,2370.939,1178.163,4313.785999999999,1859.552,2425.9529999999995
16.0,2054.811,6311.584999999999,6134.732999999997,7131.670999999999,1125.854,2882.9689999999996,4290.042999999998,1429.48,4651.939,5323.951999999999,5550.632,1992.836,7284.715000000001,5269.856999999998,5136.575999999998,4740.340999999999,3947.477,1576.2169999999996,7414.5369999999975,5140.912,5628.405000000001,7686.034999999996,3640.182,4628.737,3387.367,4888.709999999999,3923.1779999999994,4864.892999999999,5454.164999999999,788.809,3858.079999999999,7363.248999999999,2621.2680000000005,5706.543999999999,7400.503000000001,2088.7609999999995,3474.531,2295.5589999999997,1506.498,7770.886999999996,7706.693999999999,5861.506,5836.374,3809.5319999999997,5954.371999999998,4542.535,4846.117999999999,651.03,5372.813,3570.01
17.0,8358.444,3246.7309999999998,2140.2709999999997,2013.6370000000002,8859.455,5332.6900000000005,4142.8009999999995,6927.129,4629.339,2916.227999999999,2626.379,6513.605999999996,1114.735,3074.6229999999996,3236.341,3608.208,4256.942,8823.007,904.4189999999999,3422.692,3718.6730000000007,468.89799999999997,6763.766999999998,4052.9199999999996,5891.088999999999,3850.008999999999,4563.512,4236.486,3151.8849999999998,7720.652,5094.128000000001,3634.7719999999995,5732.447,2577.201,1277.5999999999997,7475.096999999998,6312.446999999999,9091.576000000001,8966.127,596.0419999999999,531.8489999999999,3483.1209999999996,2739.0699999999997,5034.488,2154.837,5095.133,3619.941999999999,8108.463999999999,3217.8559999999993,5784.013
18.0,8492.879,3363.2529999999992,2274.706,2148.072,8993.89,5467.125000000001,4277.236,7061.563999999999,4763.773999999999,3050.6629999999996,2760.8140000000003,6648.040999999997,1099.739,3209.057999999999,3370.776,3742.643,4391.3769999999995,8957.442,1038.854,3557.1269999999995,3853.1080000000006,603.333,6898.201999999998,4187.355,6025.523999999999,3984.4439999999995,4697.946999999999,4370.921,3286.3199999999997,7855.087000000001,5228.563,3565.269,5866.882,2711.636,1412.0349999999999,7609.531999999999,6446.881999999999,9226.010999999999,9100.562,730.4770000000001,666.284,3617.5560000000005,2873.504999999999,5168.923,2289.272,5229.567999999999,3754.3769999999995,8242.899,3352.2909999999993,5918.448
19.0,6743.809,999.5699999999999,1779.297,3464.7320000000004,6670.691999999998,3024.6639999999998,2019.833,4738.365999999999,2895.7279999999996,636.2639999999999,988.812,3951.346,2410.9990000000003,1560.309,1268.4769999999996,1045.9479999999999,1929.508,6954.157999999999,3601.053,2029.5739999999998,599.962,3112.8619999999996,5149.132,1898.4319999999998,4157.478,1725.1039999999998,2810.5819999999994,2860.0769999999998,2221.583,5158.392,2531.868,2066.755,3543.6839999999993,1644.899,3706.076,4912.836999999999,4578.835999999999,7476.940999999999,6638.6929999999975,3887.8920000000007,3823.698999999999,544.902,433.43500000000006,2472.2280000000005,2116.941,1977.5840000000003,1678.3989999999997,5781.029999999999,270.46799999999996,4050.4019999999987
20.0,6994.74,1908.551,666.2249999999999,2226.293,7143.246,3616.481,2469.5149999999994,5210.92,3146.6589999999997,1214.06,792.946,4811.437999999999,1417.087,1508.755,1627.989,1906.0399999999997,2554.7739999999994,7340.326999999998,2362.6140000000005,1940.012,2163.8680000000004,2018.5210000000002,5400.062999999999,2349.787,4408.409,2176.292,3080.832000000001,3014.294,1753.9699999999996,6018.484,3391.96,2495.6590000000006,4016.2380000000003,1014.2410000000001,2467.637,5772.928999999999,4829.767,7727.871999999998,7263.958999999999,2718.9640000000004,2654.7710000000006,1928.316,1131.772,3332.3200000000006,1003.869,3540.328,2037.9109999999998,6406.2959999999985,1607.271,4301.332999999999
